Scientific_Name,en_uk,fr,es,nl,no,ar,da,de,it,ja,ko,pl,pt,pt_br,ru,sv,th,tr,uk,zh
Calidris alpina,Dunlin,Bécasseau variable,Correlimos Común,Bonte Strandloper,myrsnipe,دريجة ألبية,Almindelig Ryle,Alpenstrandläufer,Piovanello pancianera,ハマシギ,민물도요,biegus zmienny,Pilrito-de-peito-preto,Pilrito-De-Peito-Preto,Чернозобик,Kärrsnäppa,นกชายเลนท้องดำ,Kara Karınlı Kumkuşu,Побережник чорногрудий,黑腹滨鹬
Calidris bairdii,Baird's Sandpiper,Bécasseau de Baird,Correlimos de Baird,Bairds Strandloper,gulbrystsnipe,دريجة بيردية,Bairdsryle,Bairdstrandläufer,Gambecchio di Baird,ヒメウズラシギ,Baird's Sandpiper,biegus długoskrzydły,Pilrito-de-bico-fino,Maçarico-De-Bico-Fino,Бэрдов песочник,Gulbröstad snäppa,Baird's Sandpiper,Uzun Kanatlı Kumkuşu,Побережник канадський,黑腰滨鹬
Calidris canutus,Red Knot,Bécasseau maubèche,Correlimos Gordo,Kanoet,polarsnipe,دريجة حمراء,Islandsk Ryle,Knutt,Piovanello maggiore,コオバシギ,붉은가슴도요,biegus rdzawy,Seixoeira,Maçarico-De-Papo-Vermelho,Исландский песочник,Kustsnäppa,นกน็อตเล็ก,Büyük Kumkuşu,Побережник ісландський,红腹滨鹬
Calidris falcinellus,Broad-billed Sandpiper,Bécasseau falcinelle,Correlimos Falcinelo,Breedbekstrandloper,fjellmyrløper,دريجة عريضة المنقار,Kærløber,Sumpfläufer,Gambecchio frullino,キリアイ,송곳부리도요,biegus płaskodzioby,Pilrito-de-bico-grosso,Pilrito-De-Bico-Grosso,Грязовик,Myrsnäppa,นกชายเลนปากกว้าง,Sürmeli Kumkuşu,Побережник болотяний,阔嘴鹬
Calidris ferruginea,Curlew Sandpiper,Bécasseau cocorli,Correlimos Zarapitín,Krombekstrandloper,tundrasnipe,دريجة كروانية,Krumnæbbet Ryle,Sichelstrandläufer,Piovanello comune,サルハマシギ,붉은갯도요,biegus krzywodzioby,Pilrito-de-bico-comprido,Maçarico-De-Bico-Curvo,Краснозобик,Spovsnäppa,นกชายเลนปากโค้ง,Kızıl Kumkuşu,Побережник червоногрудий,弯嘴滨鹬
Calidris fuscicollis,White-rumped Sandpiper,Bécasseau à croupion blanc,Correlimos Culiblanco,Bonapartes Strandloper,bonapartesnipe,دريجة عجزاء,Hvidrygget Ryle,Weißbürzel-Strandläufer,Gambecchio di Bonaparte,コシジロウズラシギ,White-rumped Sandpiper,biegus białorzytny,Pilrito-de-sobre-branco,Maçarico-De-Sobre-Branco,Бонапартов песочник,Vitgumpsnäppa,White-rumped Sandpiper,Ak Sokumlu Kumkuşu,Побережник білогрудий,白腰滨鹬
Calidris himantopus,Stilt Sandpiper,Bécasseau à échasses,Correlimos Zancolín,Steltstrandloper,styltesnipe,Stilt Sandpiper,Klireryle,Bindenstrandläufer,Stilt Sandpiper,アシナガシギ,Stilt Sandpiper,biegus brodźcowaty,Pilrito-pernilongo,Maçarico-Pernilongo,Ходулочниковый песочник,Styltsnäppa,Stilt Sandpiper,Uzun Bacaklı Kumkuşu,Побережник довгоногий,高跷鹬
Calidris maritima,Purple Sandpiper,Bécasseau violet,Correlimos Oscuro,Paarse Strandloper,fjæreplytt,Purple Sandpiper,Sortgrå Ryle,Meerstrandläufer,Piovanello violetto,ムラサキハマシギ,Purple Sandpiper,biegus morski,Pilrito-escuro,Pilrito-Escuro,Морской песочник,Skärsnäppa,Purple Sandpiper,Mor Kumkuşu,Побережник морський,紫滨鹬
Calidris mauri,Western Sandpiper,Bécasseau d'Alaska,Correlimos de Alaska,Alaskastrandloper,beringsnipe,Western Sandpiper,Alaskaryle,Bergstrandläufer,Western Sandpiper,ヒメハマシギ,긴부리좀도요,biegus alaskański,Pilrito-miúdo,Maçarico-Do-Alasca,Перепончатопалый песочник,Tundrasnäppa,Western Sandpiper,Alaska Kumkuşu,Побережник аляскинський,西方滨鹬
Calidris melanotos,Pectoral Sandpiper,Bécasseau à poitrine cendrée,Correlimos Pectoral,Gestreepte Strandloper,alaskasnipe,دريجة سوداء الظهر,Stribet Ryle,Graubrust-Strandläufer,Piovanello pettorale,アメリカウズラシギ,아메리카메추라기도요,biegus arktyczny,Pilrito-de-colete,Maçarico-De-Colete,Дутыш,Tuvsnäppa,นกชายเลนอกลาย,Çizgili Kumkuşu,Побережник арктичний,斑胸滨鹬
Calidris minuta,Little Stint,Bécasseau minute,Correlimos Menudo,Kleine Strandloper,dvergsnipe,دريجة صغيرة,Dværgryle,Zwergstrandläufer,Gambecchio comune,ヨーロッパトウネン,작은도요,biegus malutki,Pilrito-pequeno,Maçarico-Pequeno,Кулик-воробей,Småsnäppa,นกสติ๊นท์เล็ก,Küçük Kumkuşu,Побережник малий,小滨鹬
Calidris minutilla,Least Sandpiper,Bécasseau minuscule,Correlimos Menudillo,Kleinste Strandloper,pygmésnipe,Least Sandpiper,Amerikansk Dværgryle,Wiesenstrandläufer,Gambecchio americano,アメリカヒバリシギ,Least Sandpiper,biegus karłowaty,Pilrito-anão,Maçariquinho,Песочник-крошка,Dvärgsnäppa,Least Sandpiper,Cüce Kumkuşu,Побережник-крихітка,美洲小滨鹬
Calidris ptilocnemis,Rock Sandpiper,Bécasseau des Aléoutiennes,Correlimos Roquero,Beringstrandloper,klippesnipe,Rock Sandpiper,Beringsryle,Beringstrandläufer,Rock Sandpiper,チシマシギ,Rock Sandpiper,biegus skalny,Rock sandpiper,Rock Sandpiper,Берингийский песочник,Klippsnäppa,Rock Sandpiper,Kaya Kumkuşu,Побережник берингійський,岩滨鹬
Calidris pugnax,Ruff,Combattant varié,Combatiente,Kemphaan,brushane,دريجة شرسة,Brushane,Kampfläufer,Combattente,エリマキシギ,목도리도요,batalion,Combatente,Combatente,Турухтан,Brushane,นกรัฟ,Döğüşkenkuş,Брижач,流苏鹬
Calidris pusilla,Semipalmated Sandpiper,Bécasseau semipalmé,Correlimos Semipalmeado,Grijze Strandloper,sandsnipe,دريجة شبه مكففة,Tyknæbbet Dværgryle,Sandstrandläufer,Gambecchio semipalmato,ヒレアシトウネン,Semipalmated Sandpiper,biegus tundrowy,Pilrito-rasteirinho,Maçarico-Rasteirinho,Малый песочник,Sandsnäppa,Semipalmated Sandpiper,Perdeli Kumkuşu,Побережник тундровий,半蹼滨鹬
Calidris pygmaea,Spoon-billed Sandpiper,Bécasseau spatule,Correlimos Cuchareta,Lepelbekstrandloper,skjesnipe,Spoon-billed Sandpiper,Skeryle,Löffelstrandläufer,Spoon-billed Sandpiper,ヘラシギ,넓적부리도요,biegus łyżkodzioby,Spoon-billed sandpiper,Spoon-Billed Sandpiper,Лопатень,Skedsnäppa,นกชายเลนปากช้อน,Kaşık Gagalı Kumkuşu,Лопатень,勺嘴鹬
Calidris ruficollis,Red-necked Stint,Bécasseau à col roux,Correlimos Cuellirrojo,Roodkeelstrandloper,rødstrupesnipe,دريجة حمراء الرقبة,Rødhalset Ryle,Rotkehl-Strandläufer,Gambecchio collorosso,トウネン,좀도요,biegus rdzawoszyi,Pilrito-de-pescoço-ruivo,Pilrito-De-Pescoço-Ruivo,Песочник-красношейка,Rödhalsad snäppa,นกสติ๊นท์คอแดง,Kızıl Boyunlu Kumkuşu,Побережник рудоголовий,红颈滨鹬
Calidris subminuta,Long-toed Stint,Bécasseau à longs doigts,Correlimos Dedilargo,Taigastrandloper,langtåsnipe,دريجة طويلة الأصابع,Langtået Ryle,Langzehen-Strandläufer,Long-toed Stint,ヒバリシギ,종달도요,biegus smukłonogi,Pilrito-de-dedos-compridos,Pilrito-De-Dedos-Compridos,Длиннопалый песочник,Långtåsnäppa,นกสติ๊นท์นิ้วยาว,Uzun Parmaklı Kumkuşu,Побережник довгопалий,长趾滨鹬
Calidris subruficollis,Buff-breasted Sandpiper,Bécasseau roussâtre,Correlimos Canelo,Blonde Ruiter,rustsnipe,دريجة برتقالية الصدر,Prærieløber,Grasläufer,Piro piro fulvo,コモンシギ,누른도요,biegus płowy,Pilrito-acanelado,Maçarico-Acanelado,Желтозобик,Prärielöpare,Buff-breasted Sandpiper,Çayırkoşarı,Жовтоволик,黄胸滨鹬
Calidris temminckii,Temminck's Stint,Bécasseau de Temminck,Correlimos de Temminck,Temmincks Strandloper,temmincksnipe,دريجة تمنكية,Temmincksryle,Temminckstrandläufer,Gambecchio nano,オジロトウネン,흰꼬리좀도요,biegus mały,Pilrito-de-temminck,Pilrito-De-Temminck,Белохвостый песочник,Mosnäppa,นกสติ๊นท์อกเทา,Sarı Bacaklı Kumkuşu,Побережник білохвостий,青脚滨鹬
Calidris tenuirostris,Great Knot,Bécasseau de l'Anadyr,Correlimos Grande,Grote Kanoet,sibirsnipe,دريجة كبيرة,Storryle,Anadyrknutt,Great Knot,オバシギ,붉은어깨도요,biegus wielki,Seixoeira-grande,Seixoeira-Grande,Большой песочник,Kolymasnäppa,นกน็อตใหญ่,Benekli Kumkuşu,Побережник великий,大滨鹬
Calidris virgata,Surfbird,Bécasseau du ressac,Correlimos de Rompientes,Brandingloper,brottsnipe,Surfbird,Stenryle,Gischtläufer,Surfbird,アライソシギ,Surfbird,brzegowiec,Surfbird,Surfbird,Бурунный песочник,Bränningssnäppa,Surfbird,Pasifik Kumkuşu,Побережник американський,短嘴鹬
Caligavis chrysops,Yellow-faced Honeyeater,Méliphage à joues d'or,Mielero Carigualdo,Geelmaskerhoningeter,gulstripehonningeter,Yellow-faced Honeyeater,Yellow-faced Honeyeater,Dreistreifen-Honigfresser,Yellow-faced Honeyeater,キホオコバシミツスイ,Yellow-faced Honeyeater,maskowik pręgolicy,Yellow-faced honeyeater,Yellow-Faced Honeyeater,Желтолицый медосос,Gulkindad honungsfågel,Yellow-faced Honeyeater,Sarı Yanaklı Balkuşu,Медник жовтощокий,黄脸吸蜜鸟
Caligavis subfrenata,Black-throated Honeyeater,Méliphage à gorge noire,Mielero Gorjinegro,Zwartkeelhoningeter,svartstrupehonningeter,Black-throated Honeyeater,Black-throated Honeyeater,Goldstreif-Honigfresser,Black-throated Honeyeater,ノドグロミツスイ,Black-throated Honeyeater,maskowik czarnogardły,Black-throated honeyeater,Black-Throated Honeyeater,Черногорлый медосос,Svartstrupig honungsfågel,Black-throated Honeyeater,Dumanlı Balkuşu,Медник чорногорлий,黑喉吸蜜鸟
Callacanthis burtoni,Spectacled Finch,Roselin de Burton,Pinzón de Anteojos,Burtons Goudvink,sherpafink,Spectacled Finch,Spectacled Finch,Rotmaskengimpel,Spectacled Finch,アカマユマシコ,Spectacled Finch,krasnotek,Spectacled finch,Spectacled Finch,Очковый вьюрок,Rhododendronfink,Spectacled Finch,Gözlüklü Alamecek,Армілка гімалайська,红眉金翅雀
Callaeas wilsoni,North Island Kokako,Glaucope de Wilson,Kokako de Isla Norte,Noordelijke Kokako,nordkokako,North Island Kokako,North Island Kokako,Graulappenvogel,North Island Kokako,ホクトウハシブトホオダレムクドリ,North Island Kokako,koralnik modropłatkowy,North island kokako,North Island Kokako,Северный кокако,Nordökokako,North Island Kokako,Kuzey Adası Kokakosu,Коральник синьощокий,北岛垂耳鸦
Calliope calliope,Siberian Rubythroat,Rossignol calliope,Ruiseñor Calíope,Roodkeelnachtegaal,rubinstrupe,Siberian Rubythroat,Rubinnattergal,Rubinkehlchen,Calliope,ノゴマ,진홍가슴,słowiczek rubinowy,Pisco-de-garganta-vermelha,Pisco-De-Garganta-Vermelha,Соловей-красношейка,Rubinnäktergal,นกคอทับทิม,Sibirya Yakut Gerdanlı Bülbülü,Соловейко червоногорлий,红喉歌鸲
Calliope pectardens,Firethroat,Rossignol de David,Ruiseñor de David,Pater Davids Nachtegaal,ildstrupe,Firethroat,Firethroat,Feuerkehlnachtigall,Firethroat,ムネアカノゴマ,Firethroat,słowiczek ognistogardły,Firethroat,Firethroat,Красногрудый соловей,Glödhake,นกเขนน้อยอกเพลิง,Alev Gerdanlı Bülbül,Соловейко вогнистогорлий,金胸歌鸲
Calliope pectoralis,Himalayan Rubythroat,Rossignol à gorge rubis,Ruiseñor Pechinegro del Himalaya,Himalayan Rubythroat,juvelstrupe,Himalayan Rubythroat,Himalayan Rubythroat,Bergrubinkehlchen,Himalayan Rubythroat,ムナグロノゴマ,Himalayan Rubythroat,słowiczek białosterny,Himalayan rubythroat,Himalayan Rubythroat,Черногрудая красношейка,Svartbröstad rubinnäktergal,Himalayan Rubythroat,Himalaya Yakut Gerdanlı Bülbül,Соловейко білохвостий,黑胸歌鸲
Calliope tschebaiewi,Chinese Rubythroat,Rossignol de Przewalski,Ruiseñor Pechinegro Chino,Chinese Rubythroat,jaspisstrupe,Chinese Rubythroat,Chinese Rubythroat,Tibetrubinkehlchen,Chinese Rubythroat,オジロノゴマ,Chinese Rubythroat,słowiczek wąsaty,Chinese rubythroat,Chinese Rubythroat,Тибетская красношейка,Tibetansk rubinnäktergal,นกคอทับทิมอกดำ,Çin Yakut Gerdanlı Bülbül,Соловейко біловусий,白须黑胸歌鸲
Callipepla californica,California Quail,Colin de Californie,Colín de California,Californische Kuifkwartel,kaliforniavaktel,California Quail,Californisk Topvagtel,Schopfwachtel,California Quail,カンムリウズラ,California Quail,przepiór kalifornijski,Codorniz-da-califórnia,Codorniz-Da-Califórnia,Калифорнийский перепел,Kalifornisk tofsvaktel,California Quail,Kaliforniya Kolini,Перепелиця каліфорнійська,珠颈斑鹑
Callipepla douglasii,Elegant Quail,Colin élégant,Colín Elegante,Douglas' Kuifkwartel,sinaloavaktel,Elegant Quail,Elegant Quail,Douglaswachtel,Elegant Quail,エボシウズラ,Elegant Quail,przepiór strojny,Elegant quail,Elegant Quail,Элегантный перепел,Prakttofsvaktel,Elegant Quail,Zarif Kolin,Перепелиця жовточуба,华丽翎鹑
Callipepla gambelii,Gambel's Quail,Colin de Gambel,Colín de Gambel,Gambels Kuifkwartel,svartbukvaktel,Gambel's Quail,Gambel's Quail,Helmwachtel,Gambel's Quail,ズアカカンムリウズラ,Gambel's Quail,przepiór czubaty,Gambel's quail,Gambel's Quail,Шлемоносный перепел,Ökentofsvaktel,Gambel's Quail,Gambel Kolini,Перепелиця жовтогруда,黑腹翎鹑
Callipepla squamata,Scaled Quail,Colin écaillé,Colín Escamado,Geschubde Kwartel,skjellvaktel,Scaled Quail,Scaled Quail,Schuppenwachtel,Scaled Quail,ウロコウズラ,Scaled Quail,przepiór łuskowany,Scaled quail,Scaled Quail,Чешуйчатый перепел,Fjällig tofsvaktel,Scaled Quail,Pullu Kolin,Перепелиця строкатобока,鳞斑鹑
Callocephalon fimbriatum,Gang-gang Cockatoo,Cacatoès à tête rouge,Cacatúa Gangang,Helmkaketoe,hjelmkakadu,Gang-gang Cockatoo,Gang-gang Cockatoo,Helmkakadu,Gang-gang Cockatoo,アカサカオウム,Gang-gang Cockatoo,kakadu krasnogłowa,Gang-gang cockatoo,Gang-Gang Cockatoo,Шлемоносный какаду,Hjälmkakadua,Gang-gang Cockatoo,Miğferli Kakadu,Какаду червоноголовий,红冠灰凤头鹦鹉
Calocitta colliei,Black-throated Magpie-Jay,Geai à face noire,Urraca Hermosa Carinegra,Collies Ekstergaai,storskjæreskrike,Black-throated Magpie-Jay,Black-throated Magpie-Jay,Schwarzkehl-Elsternhäher,Black-throated Magpie-Jay,コリーカンムリサンジャク,Black-throated Magpie-Jay,srokal czarnogardły,Black-throated Magpie-Jay,Black-Throated Magpie-Jay,Черногорлая сорочья сойка,Svartstrupig skatskrika,Black-throated Magpie-Jay,Kara Yanaklı Saksağan Kargası,Сойка чорногорла,黑喉鹊鸦
Calocitta formosa,White-throated Magpie-Jay,Geai à face blanche,Urraca Hermosa Cariblanca,Ekstergaai,småskjæreskrike,White-throated Magpie-Jay,White-throated Magpie-Jay,Weißkehl-Elsternhäher,White-throated Magpie-Jay,カンムリサンジャク,White-throated Magpie-Jay,srokal białogardły,White-throated Magpie-Jay,White-Throated Magpie-Jay,Белогорлая сорочья сойка,Vitstrupig skatskrika,White-throated Magpie-Jay,Ak Yakalı Saksağan Kargası,Сойка білогорла,白喉鹊鸦
Calonectris diomedea,Cory's Shearwater,Puffin cendré,Pardela Cenicienta,Kuhls Pijlstormvogel,gulnebblire,جلم ماء كوري,Kuhls/Atlantisk Skråpe,Sepiasturmtaucher,Berta maggiore/boreale,オニミズナギドリ,Cory's Shearwater,burzyk żółtodzioby,Cagarra-do-mediterrâneo,Cagarra-Do-Mediterrâneo,Средиземноморский буревестник,Scopolilira/Gulnäbbad lira,Cory's Shearwater,Boz Yelkovan,Буревісник середземноморський,斯氏鹱
Caloramphus fuliginosus,Brown Barbet,Barbu fuligineux,Barbudo Pardo de Borneo,Bruine Baardvogel,brunskjeggfugl,Brown Barbet,Brown Barbet,Rostbartvogel,Brown Barbet,チャイロゴシキドリ,Brown Barbet,gołodziób rdzawogardły,Brown barbet,Brown Barbet,Бурый бородастик,Brunbarbett,Brown Barbet,Borneo Esmer Barbeti,Барбу бурий,褐拟啄木鸟
Calothorax lucifer,Lucifer Hummingbird,Colibri lucifer,Colibrí Luminoso,Luciferkolibrie,luciferkolibri,Lucifer Hummingbird,Lucifer Hummingbird,Luzifersternkolibri,Lucifer Hummingbird,アカヒゲハチドリ,Lucifer Hummingbird,koliberek pustynny,Lucifer hummingbird,Lucifer Hummingbird,Сверкающий люцифер,Luciferkolibri,Lucifer Hummingbird,Işıldayan Kolibri,Колібрі-білозір пустельний,瑰丽蜂鸟
Calypte anna,Anna's Hummingbird,Colibri d'Anna,Colibrí de Anna,Anna's Kolibrie,rødmaskekolibri,Anna's Hummingbird,Anna's Hummingbird,Annakolibri,Anna's Hummingbird,アンナハチドリ,Anna's Hummingbird,koliberek żarogłowy,Anna's hummingbird,Anna's Hummingbird,Рубиновый калипсо,Annas kolibri,Anna's Hummingbird,Anna Kolibrisi,Каліпта рубіновоголова,安氏蜂鸟
Calypte costae,Costa's Hummingbird,Colibri de Costa,Colibrí de Costa,Costa's Kolibrie,ørkenkolibri,Costa's Hummingbird,Costa's Hummingbird,Veilchenkopfelfe,Costa's Hummingbird,コスタハチドリ,Costa's Hummingbird,koliberek kalifornijski,Costa's hummingbird,Costa's Hummingbird,Фиалковый калипсо,Costas kolibri,Costa's Hummingbird,Costa Kolibrisi,Каліпта аметистовоголова,科氏蜂鸟
Calyptomena viridis,Green Broadbill,Eurylaime vert,Eurilaimo Verde,Kleine Smaragdbreedbek,grønnbrednebb,Green Broadbill,Green Broadbill,Smaragdbreitrachen,Green Broadbill,ミドリヒロハシ,Green Broadbill,nosoczub szmaragdowy,Green broadbill,Green Broadbill,Зелёный скрытоклюв,Smaragdbrednäbb,นกเขียวปากงุ้ม,Yeşil Genişgaga,Дзьобочуб смарагдовий,绿阔嘴鸟
Calyptomena whiteheadi,Whitehead's Broadbill,Eurylaime de Whitehead,Eurilaimo de Whitehead,Zwartkeelsmaragdbreedbek,svartstrupebrednebb,Whitehead's Broadbill,Whitehead's Broadbill,Schwarzkehl-Breitrachen,Whitehead's Broadbill,オオミドリヒロハシ,Whitehead's Broadbill,nosoczub czarnogardły,Whitehead's broadbill,Whitehead's Broadbill,Черногорлый скрытоклюв,Whiteheads brednäbb,Whitehead's Broadbill,Whitehead Genişgagası,Дзьобочуб чорногорлий,黑喉绿阔嘴鸟
Calyptophilus frugivorus,Eastern Chat-Tanager,Konichon dominicain,Tangara Dominicana,Oostelijke Tapuittangare,østplystretanagar,Eastern Chat-Tanager,Eastern Chat-Tanager,Dominikanerschmätzertangare,Eastern Chat-Tanager,ジフウキンチョウ,Eastern Chat-Tanager,hispaniol oliwkowy,Eastern chat-tanager,Eastern Chat-Tanager,Восточный корнихон,Östlig snårtangara,Eastern Chat-Tanager,Dominik Tangarası,Корніхон східний,东䳭唐纳雀
Calyptophilus tertius,Western Chat-Tanager,Konichon d'Haïti,Tangara Haitiana,Westelijke Tapuittangare,vestplystretanagar,Western Chat-Tanager,Western Chat-Tanager,Haitischmätzertangare,Western Chat-Tanager,ニシジフウキンチョウ,Western Chat-Tanager,hispaniol brązowawy,Western chat-tanager,Western Chat-Tanager,Западный корнихон,Västlig snårtangara,Western Chat-Tanager,Haiti Tangarası,Корніхон західний,西䳭唐纳雀
Calyptorhynchus banksii,Red-tailed Black-Cockatoo,Cacatoès banksien,Cacatúa Colirroja,Roodstaartraafkaketoe,rødhalekakadu,Red-tailed Black-Cockatoo,Red-tailed Black-Cockatoo,Rotschwanz-Rabenkakadu,Red-tailed Black-Cockatoo,アカオクロオウム,Red-tailed Black-Cockatoo,żałobnica rudosterna,Red-tailed black-cockatoo,Red-Tailed Black-Cockatoo,Краснохвостый траурный какаду,Rödstjärtad sotkakadua,Red-tailed Black-Cockatoo,Kızıl Kuyruklu Kakadu,Какатоїс червонохвостий,红尾凤头鹦鹉
Calyptorhynchus funereus,Yellow-tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo,Yellow-Tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo,Yellow-tailed Black-Cockatoo
Calyptorhynchus lathami,Glossy Black-Cockatoo,Cacatoès de Latham,Cacatúa Lustrosa,Bruine Raafkaketoe,brunkakadu,Glossy Black-Cockatoo,Glossy Black-Cockatoo,Braunkopf-Rabenkakadu,Glossy Black-Cockatoo,テリクロオウム,Glossy Black-Cockatoo,żałobnica brunatna,Glossy black-cockatoo,Glossy Black-Cockatoo,Буроголовый траурный какаду,Glanssotkakadua,Glossy Black-Cockatoo,Parlak Siyah Kakadu,Какатоїс буроголовий,辉凤头鹦鹉
Calyptorhynchus latirostris,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo,Carnaby's Black-Cockatoo
Camaroptera brachyura,Green-backed Camaroptera,Camaroptère à tête grise,Camaróptera Baladora,Mekker-camaroptera,villnissanger,Green-backed Camaroptera,Green-backed Camaroptera,Grünmantel-Bogenflügel,Green-backed Camaroptera,ミドリコムシクイ,Green-backed Camaroptera,beczak zielonogrzbiety,Green-backed camaroptera,Green-Backed Camaroptera,Широкохвостая терновница,Grönryggig kamaroptera/Angolakamaroptera/Gråryggig kamaroptera,Green-backed Camaroptera,Yeşil Sırtlı Kamaropter,Цвіркач зелений,绿背拱翅莺
Camaroptera chloronota,Olive-green Camaroptera,Camaroptère à dos vert,Camaróptera Dorsiverde,Olijfgroene Camaroptera,olivenryggsanger,Olive-green Camaroptera,Olive-green Camaroptera,Olivbogenflügel,Olive-green Camaroptera,オリーブコムシクイ,Olive-green Camaroptera,beczak kusy,Olive-green camaroptera,Olive-Green Camaroptera,Оливковая терновница,Olivkamaroptera,Olive-green Camaroptera,Zeytuni Kamaropter,Цвіркач оливковий,绿拱翅莺
Camaroptera superciliaris,Yellow-browed Camaroptera,Camaroptère à sourcils jaunes,Camaróptera Cejigualda,Geelbrauwcamaroptera,blåflekksanger,Yellow-browed Camaroptera,Yellow-browed Camaroptera,Gelbbrauen-Bogenflügel,Yellow-browed Camaroptera,キマユコムシクイ,Yellow-browed Camaroptera,beczak żółtobrewy,Yellow-browed camaroptera,Yellow-Browed Camaroptera,Желтобровая терновница,Gulbrynad kamaroptera,Yellow-browed Camaroptera,Sarı Kamaropter,Цвіркач жовтобровий,黄眉拱翅莺
Campephaga flava,Black Cuckooshrike,Échenilleur à épaulettes jaunes,Oruguero Hombroamarillo,Kaapse Rupsvogel,svartlarveeter,Black Cuckooshrike,Black Cuckooshrike,Kapraupenfänger,Black Cuckooshrike,アフリカクロサンショウクイ,Black Cuckooshrike,liszkojad czarny,Black cuckooshrike,Black Cuckooshrike,Желтоплечий личинколюб,Svart nålfågel,Black Cuckooshrike,Kuzguni Tırtılyiyen,Личинкоїд південний,黑鹃鵙
Campephaga quiscalina,Purple-throated Cuckooshrike,Échenilleur pourpré,Oruguero Purpúreo,Purperrupsvogel,purpurlarveeter,Purple-throated Cuckooshrike,Purple-throated Cuckooshrike,Purpurraupenfänger,Purple-throated Cuckooshrike,テリサンショウクイ,Purple-throated Cuckooshrike,liszkojad purpurowy,Purple-throated cuckooshrike,Purple-Throated Cuckooshrike,Пурпурногорлый личинколюб,Purpurstrupig nålfågel,Purple-throated Cuckooshrike,Menevişli Tırtılyiyen,Личинкоїд пурпуровий,紫喉鹃鵙
Campephilus gayaquilensis,Guayaquil Woodpecker,Pic de Guayaquil,Picamaderos de Guayaquil,Guayaquilspecht,quipuspett,Guayaquil Woodpecker,Guayaquil Woodpecker,Guayaquilspecht,Guayaquil Woodpecker,コシジマエボシゲラ,Guayaquil Woodpecker,dzięcioł pręgogrzbiety,Guayaquil woodpecker,Guayaquil Woodpecker,Гуаякильский дятел,Guayaquilspett,Guayaquil Woodpecker,Guayaquil Ağaçkakanı,Дятел-кардинал гуаякильський,厄瓜多尔啄木鸟
Campephilus guatemalensis,Pale-billed Woodpecker,Pic à bec clair,Picamaderos Piquiclaro,Koningsspecht,mayaspett,Pale-billed Woodpecker,Pale-billed Woodpecker,Königspecht,Pale-billed Woodpecker,ズアカエボシゲラ,Pale-billed Woodpecker,dzięcioł jasnodzioby,Pale-billed woodpecker,Pale-Billed Woodpecker,Королевский дятел,Mayaspett,Pale-billed Woodpecker,Soluk Gagalı Ağaçkakan,Дятел-кардинал світлодзьобий,淡嘴啄木鸟
Campephilus haematogaster,Crimson-bellied Woodpecker,Pic superbe,Picamaderos Ventrirrojo,Grote Roodbuikspecht,karminspett,Crimson-bellied Woodpecker,Crimson-bellied Woodpecker,Blutbauchspecht,Crimson-bellied Woodpecker,アカハラエボシゲラ,Crimson-bellied Woodpecker,dzięcioł wspaniały,Crimson-bellied woodpecker,Crimson-Bellied Woodpecker,Кровавобрюхий дятел,Karmosinspett,Crimson-bellied Woodpecker,Kırmızı Karınlı Ağaçkakan,Дятел-кардинал вохристощокий,朱腹啄木鸟
Campephilus leucopogon,Cream-backed Woodpecker,Pic à dos crème,Picamaderos Dorsiblanco,Crèmerugspecht,kremryggspett,Cream-backed Woodpecker,Cream-backed Woodpecker,Weißmantelspecht,Cream-backed Woodpecker,セジロエボシゲラ,Cream-backed Woodpecker,dzięcioł płowogrzbiety,Pica-pau-de-barriga-preta,Pica-Pau-De-Barriga-Preta,Кремовоспинный дятел,Gräddmantelspett,Cream-backed Woodpecker,Akça Sırtlı Ağaçkakan,Дятел-кардинал білоспинний,乳白背啄木鸟
